date_of_demolition,locality,district,area,housing_units,people_left_homeless,minors_left_homeless,type_of_sturcture,reason_for_demolition
2022-11-14,al-Maniyah,Bethlehem,west-bank,1,0,0,Residental,Demolition on the pretext of unlawful construction
2022-11-14,al-Maniyah,Bethlehem,west-bank,1,0,0,Residental,Demolition on the pretext of unlawful construction
2022-11-14,Tarqumya,Hebron,west-bank,1,5,3,Residental,Demolition on the pretext of unlawful construction
2022-11-13,'Arab al-'Anani wa al-Jabour,Salfit,west-bank,1,7,5,Residental,Demolition on the pretext of unlawful construction
2022-11-13,'Arab al-'Anani wa al-Jabour,Salfit,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-11-13,'Arab al-'Anani wa al-Jabour,Salfit,west-bank,1,2,1,Residental,Demolition on the pretext of unlawful construction
2022-11-13,'Arab al-'Anani wa al-Jabour,Salfit,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-11-13,'Arab al-'Anani wa al-Jabour,Salfit,west-bank,1,5,1,Residental,Demolition on the pretext of unlawful construction
2022-11-13,'Arab al-'Anani wa al-Jabour,Salfit,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-11-09,Khalet al-Furn,Hebron,west-bank,3,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-11-07,Jericho,Jericho,west-bank,2,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-11-07,Jericho,Jericho,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-11-07,Qibyah,Ramallah and al-Bira,west-bank,1,1,0,Residental,Demolition on the pretext of unlawful construction
2022-11-07,Beit Jala,Bethlehem,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-11-03,Bruqin,Salfit,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-11-03,'Arab al-Freijat,Hebron,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-11-03,'Arab al-Freijat,Hebron,west-bank,3,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-11-03,Bruqin,Salfit,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-11-03,al-Birah,Ramallah and al-Bira,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-11-03,Beitin,Ramallah and al-Bira,west-bank,4,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-11-02,Jalbun,Jenin,west-bank,1,0,0,Residental,Demolition on the pretext of unlawful construction
2022-11-02,Jalbun,Jenin,west-bank,1,4,2,Residental,Demolition on the pretext of unlawful construction
2022-11-02,'Ein a-Duyuk al-Foqa,Jericho,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-10-31,al-Baq'ah (Hebron),Hebron,west-bank,3,0,0,Residental,Demolition on the pretext of unlawful construction
2022-10-31,Um Lasafa,Hebron,west-bank,1,0,0,Residental,Demolition on the pretext of unlawful construction
2022-10-27,a-Sawahrah a-Sharqiyah,al-Quds,west-bank,1,0,0,Residental,Demolition on the pretext of unlawful construction
2022-10-27,a-Sawahrah a-Sharqiyah,al-Quds,west-bank,3,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-10-26,Jericho,Jericho,west-bank,6,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-10-26,'Ein a-Duyuk al-Foqa,Jericho,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-10-26,'Ein a-Duyuk al-Foqa,Jericho,west-bank,4,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-10-26,'Ein a-Duyuk al-Foqa,Jericho,west-bank,2,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-10-26,Jericho,Jericho,west-bank,4,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-10-25,al-Jawaya,Hebron,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-10-25,al-Jawaya,Hebron,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-10-25,Bani Na'im,Hebron,west-bank,1,0,0,Residental,Demolition on the pretext of unlawful construction
2022-10-25,Kh. Wadi Ejheish,Hebron,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-10-25,Kh. Wadi Ejheish,Hebron,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-10-25,Kh. Wadi Ejheish,Hebron,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-10-25,Kh. Wadi Ejheish,Hebron,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-10-25,Kh. Wadi Ejheish,Hebron,west-bank,2,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-10-20,Deir Samit,Hebron,west-bank,1,0,0,Residental,Demolition on the pretext of unlawful construction
2022-10-10,Kh. Wadi Ejheish,Hebron,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-10-06,Deir Samit,Hebron,west-bank,1,8,6,Residental,Demolition on the pretext of unlawful construction
2022-10-05,Deir al-Hatab,Nablus,west-bank,0,0,0,Residental,Demolition for alleged military purposes
2022-10-03,Wadi a-Siq,Ramallah and al-Bira,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-10-03,Wadi a-Siq,Ramallah and al-Bira,west-bank,1,1,0,Residental,Demolition on the pretext of unlawful construction
2022-10-03,Wadi a-Siq,Ramallah and al-Bira,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-10-03,Wadi a-Siq,Ramallah and al-Bira,west-bank,2,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-10-03,Wadi a-Siq,Ramallah and al-Bira,west-bank,1,6,4,Residental,Demolition on the pretext of unlawful construction
2022-10-03,Hebron,Hebron,west-bank,1,12,6,Residental,Demolition on the pretext of unlawful construction
2022-10-03,Wadi a-Siq,Ramallah and al-Bira,west-bank,4,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-10-03,Wadi a-Siq,Ramallah and al-Bira,west-bank,1,12,7,Residental,Demolition on the pretext of unlawful construction
2022-10-03,Beit 'Einun,Hebron,west-bank,1,7,6,Residental,Demolition on the pretext of unlawful construction
2022-10-03,a-Rifa'iya,Hebron,west-bank,1,0,0,Residental,Demolition on the pretext of unlawful construction
2022-10-03,Kafr a-Dik,Salfit,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-10-03,Wadi a-Siq,Ramallah and al-Bira,west-bank,1,5,3,Residental,Demolition on the pretext of unlawful construction
2022-09-29,Irtas,Bethlehem,west-bank,2,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-09-29,Irtas,Bethlehem,west-bank,2,0,0,Residental,Demolition on the pretext of unlawful construction
2022-09-29,Ras al-Jorah,Hebron,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-09-22,Haris,Salfit,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-09-22,a-Rakeez,Hebron,west-bank,1,7,4,Residental,Demolition on the pretext of unlawful construction
2022-09-22,Haris,Salfit,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-09-22,Haris,Salfit,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-09-22,Haris,Salfit,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-09-22,Haris,Salfit,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-09-22,Haris,Salfit,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-09-22,Haris,Salfit,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-09-22,Haris,Salfit,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-09-22,Haris,Salfit,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-09-22,Haris,Salfit,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-09-22,Haris,Salfit,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-09-21,'Ein Samia,Ramallah and al-Bira,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-09-21,'Ein Samia,Ramallah and al-Bira,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-09-21,'Ein Samia,Ramallah and al-Bira,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-09-21,Kh. al-Marajim,Nablus,west-bank,2,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-09-20,Kh. Jamrurah,Hebron,west-bank,1,6,4,Residental,Demolition on the pretext of unlawful construction
2022-09-20,Kh. Jamrurah,Hebron,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-09-19,al-'Auja,Jericho,west-bank,4,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-09-19,Jaba',al-Quds,west-bank,1,5,0,Residental,Demolition on the pretext of unlawful construction
2022-09-19,Jaba',al-Quds,west-bank,4,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-09-19,Jaba',al-Quds,west-bank,1,12,8,Residental,Demolition on the pretext of unlawful construction
2022-09-19,Jaba',al-Quds,west-bank,5,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-09-19,'Ein a-Duyuk al-Foqa,Jericho,west-bank,1,0,0,Residental,Demolition on the pretext of unlawful construction
2022-09-19,'Ein a-Duyuk al-Foqa,Jericho,west-bank,4,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-09-14,Kh. Wadi Ejheish,Hebron,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-09-14,Rujeib,Nablus,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-09-14,Rujeib,Nablus,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-09-14,Rujeib,Nablus,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-09-14,a-Rifa'iya,Hebron,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-09-13,Jaba',al-Quds,west-bank,2,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-09-08,Kh. Tana,Nablus,west-bank,1,6,1,Residental,Demolition on the pretext of unlawful construction
2022-09-08,Kh. Tana,Nablus,west-bank,2,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-09-07,'Anata,al-Quds,west-bank,3,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-09-07,'Anata,al-Quds,west-bank,3,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-09-07,'Anata,al-Quds,west-bank,4,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-09-06,Beit Jala,Bethlehem,west-bank,1,5,1,Residental,Demolition on the pretext of unlawful construction
2022-09-06,al-Khader,Bethlehem,west-bank,1,7,5,Residental,Demolition on the pretext of unlawful construction
2022-09-06,al-Khader,Bethlehem,west-bank,4,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-09-06,Jenin,Jenin,west-bank,1,0,0,Residental,Demolition of houses as punishment
2022-09-01,Tekoa,Bethlehem,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-08-31,al-Halqum,Bethlehem,west-bank,1,0,0,Residental,Demolition on the pretext of unlawful construction
2022-08-30,Rujeib,Nablus,west-bank,0,0,0,Residental,Demolition for alleged military purposes
2022-08-29,Jericho,Jericho,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-08-25,Tarqumya,Hebron,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-08-24,Huwarah,Nablus,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-08-24,Wadi al-Ahmar,Jericho,west-bank,1,0,0,Residental,Demolition on the pretext of unlawful construction
2022-08-24,Wadi al-Ahmar,Jericho,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-08-24,Wadi al-Ahmar,Jericho,west-bank,4,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-08-24,Wadi al-Ahmar,Jericho,west-bank,1,5,1,Residental,Demolition on the pretext of unlawful construction
2022-08-24,Wadi al-Ahmar,Jericho,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-08-24,Wadi al-Ahmar,Jericho,west-bank,1,5,3,Residental,Demolition on the pretext of unlawful construction
2022-08-24,Wadi al-Ahmar,Jericho,west-bank,2,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-08-24,Wadi al-Ahmar,Jericho,west-bank,1,0,0,Residental,Demolition on the pretext of unlawful construction
2022-08-24,Wadi al-Ahmar,Jericho,west-bank,1,0,0,Residental,Demolition on the pretext of unlawful construction
2022-08-24,Wadi al-Ahmar,Jericho,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-08-24,Wadi al-Ahmar,Jericho,west-bank,1,0,0,Residental,Demolition on the pretext of unlawful construction
2022-08-24,Wadi al-Ahmar,Jericho,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-08-24,Wadi al-Ahmar,Jericho,west-bank,1,0,0,Residental,Demolition on the pretext of unlawful construction
2022-08-24,Wadi al-Ahmar,Jericho,west-bank,1,0,0,Residental,Demolition on the pretext of unlawful construction
2022-08-24,Huwarah,Nablus,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-08-24,a-Zbeidat,Jericho,west-bank,1,0,0,Residental,Demolition on the pretext of unlawful construction
2022-08-22,'Ein a-Duyuk a-Tahta,Jericho,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-08-22,'Ein a-Duyuk a-Tahta,Jericho,west-bank,4,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-08-22,'Ein a-Duyuk a-Tahta,Jericho,west-bank,1,0,0,Residental,Demolition on the pretext of unlawful construction
2022-08-22,'Ein a-Duyuk a-Tahta,Jericho,west-bank,1,8,6,Residental,Demolition on the pretext of unlawful construction
2022-08-22,'Ein a-Duyuk a-Tahta,Jericho,west-bank,1,2,0,Residental,Demolition on the pretext of unlawful construction
2022-08-22,'Ein a-Duyuk a-Tahta,Jericho,west-bank,1,4,2,Residental,Demolition on the pretext of unlawful construction
2022-08-22,'Ein a-Duyuk a-Tahta,Jericho,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-08-22,'Ein a-Duyuk a-Tahta,Jericho,west-bank,6,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-08-22,'Ein a-Duyuk a-Tahta,Jericho,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-08-22,'Ein a-Duyuk a-Tahta,Jericho,west-bank,1,0,0,Residental,Demolition on the pretext of unlawful construction
2022-08-22,'Ein a-Duyuk a-Tahta,Jericho,west-bank,2,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-08-22,'Ein a-Duyuk a-Tahta,Jericho,west-bank,1,0,0,Residental,Demolition on the pretext of unlawful construction
2022-08-22,'Ein a-Duyuk a-Tahta,Jericho,west-bank,10,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-08-22,Farasin,Jenin,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-08-19,al-Khader,Bethlehem,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-08-17,Kafr a-Dik,Salfit,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-08-17,Kafr a-Dik,Salfit,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-08-17,Kafr a-Dik,Salfit,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-08-17,Bruqin,Salfit,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-08-16,Kh. 'Allan,Jericho,west-bank,1,1,0,Residental,Demolition on the pretext of unlawful construction
2022-08-16,Kh. 'Allan,Jericho,west-bank,2,11,7,Residental,Demolition on the pretext of unlawful construction
2022-08-16,Kh. 'Allan,Jericho,west-bank,7,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-08-15,Kh. a-Ras al-Ahmar,Tubas,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-08-13,Kafr a-Dik,Salfit,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-08-10,Husan,Bethlehem,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-08-10,al-'Auja,Jericho,west-bank,1,8,3,Residental,Demolition on the pretext of unlawful construction
2022-08-10,al-'Auja,Jericho,west-bank,3,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-08-10,Wadi al-Ahmar,Jericho,west-bank,2,0,0,Residental,Demolition on the pretext of unlawful construction
2022-08-10,al-Mas'udiyah,Nablus,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-08-10,'Anata,al-Quds,west-bank,1,0,0,Residental,Demolition on the pretext of unlawful construction
2022-08-09,Beit Fajjar,Bethlehem,west-bank,1,6,4,Residental,Demolition on the pretext of unlawful construction
2022-08-09,Nablus,Nablus,west-bank,0,0,0,Residental,Demolition for alleged military purposes
2022-08-08,Jaba',al-Quds,west-bank,1,12,8,Residental,Demolition on the pretext of unlawful construction
2022-08-08,Rummanah,Jenin,west-bank,1,6,4,Residental,Demolition of houses as punishment
2022-08-08,Rummanah,Jenin,west-bank,3,5,0,Residental,Demolition of houses as punishment
2022-08-08,al-Buweib,Hebron,west-bank,1,7,5,Residental,Demolition on the pretext of unlawful construction
2022-08-08,Jaba',al-Quds,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-08-08,Jaba',al-Quds,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-08-08,Jaba',al-Quds,west-bank,1,4,0,Residental,Demolition on the pretext of unlawful construction
2022-08-08,Tarqumya,Hebron,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-08-08,Jaba',al-Quds,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-08-08,Jaba',al-Quds,west-bank,1,0,0,Residental,Demolition on the pretext of unlawful construction
2022-08-04,Rantis,Ramallah and al-Bira,west-bank,2,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-08-03,Qalandia,al-Quds,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-08-03,a-Za'ayem,al-Quds,west-bank,3,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-08-03,a-Za'ayem,al-Quds,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-08-03,a-Za'ayem,al-Quds,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-08-03,a-Za'ayem,al-Quds,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-08-03,a-Za'ayem,al-Quds,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-08-03,Tekoa,Bethlehem,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-08-02,Bizzariya,Nablus,west-bank,3,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-08-02,Sabastiya,Nablus,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-08-02,Sabastiya,Nablus,west-bank,1,9,6,Residental,Demolition on the pretext of unlawful construction
2022-08-02,a-Ramadin,Hebron,west-bank,1,0,0,Residental,Demolition on the pretext of unlawful construction
2022-08-02,Beit Dajan,Nablus,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-08-02,a-Ramadin,Hebron,west-bank,2,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-08-01,Kafr a-Dik,Salfit,west-bank,1,0,0,Residental,Demolition on the pretext of unlawful construction
2022-07-27,Jericho,Jericho,west-bank,1,0,0,Residental,Demolition on the pretext of unlawful construction
2022-07-27,Jericho,Jericho,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-07-27,Jericho,Jericho,west-bank,1,0,0,Residental,Demolition on the pretext of unlawful construction
2022-07-26,Um a-Rihan,Jenin,west-bank,1,0,0,Residental,Demolition on the pretext of unlawful construction
2022-07-26,Qarawat Bani Hassan,Salfit,west-bank,1,8,5,Residental,Demolition of houses as punishment
2022-07-26,Qarawat Bani Hassan,Salfit,west-bank,1,9,5,Residental,Demolition of houses as punishment
2022-07-26,al-Jalameh,Jenin,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-07-26,Ya'bad,Jenin,west-bank,2,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-07-26,Qusin,Nablus,west-bank,1,0,0,Residental,Demolition on the pretext of unlawful construction
2022-07-26,Qusin,Nablus,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-07-26,Qusin,Nablus,west-bank,2,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-07-26,al-Jalameh,Jenin,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-07-25,Birin,Hebron,west-bank,1,0,0,Residental,Demolition on the pretext of unlawful construction
2022-07-25,Birin,Hebron,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-07-25,Kh. Um Qusah,Hebron,west-bank,1,6,4,Residental,Demolition on the pretext of unlawful construction
2022-07-25,Idhna,Hebron,west-bank,1,4,2,Residental,Demolition on the pretext of unlawful construction
2022-07-24,al-Buweib,Hebron,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-07-19,al-Jawaya,Hebron,west-bank,2,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-07-19,'Aqbat Jaber R.C.,Jericho,west-bank,1,0,0,Residental,Demolition on the pretext of unlawful construction
2022-07-19,al-Jawaya,Hebron,west-bank,1,3,0,Residental,Demolition on the pretext of unlawful construction
2022-07-19,'Anata,al-Quds,west-bank,2,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-07-19,al-Jawaya,Hebron,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-07-19,'Anata,al-Quds,west-bank,1,0,0,Residental,Demolition on the pretext of unlawful construction
2022-07-19,'Anata,al-Quds,west-bank,1,0,0,Residental,Demolition on the pretext of unlawful construction
2022-07-19,'Anata,al-Quds,west-bank,1,0,0,Residental,Demolition on the pretext of unlawful construction
2022-07-19,'Anata,al-Quds,west-bank,1,0,0,Residental,Demolition on the pretext of unlawful construction
2022-07-17,al-Jawaya,Hebron,west-bank,3,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-07-07,a-Nabi Samwil,Ramallah and al-Bira,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-07-07,Kh. Um Qusah,Hebron,west-bank,1,12,7,Residental,Demolition on the pretext of unlawful construction
2022-07-07,Kh. Um Qusah,Hebron,west-bank,1,0,0,Residental,Demolition on the pretext of unlawful construction
2022-07-07,a-Nabi Samwil,Ramallah and al-Bira,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-07-07,a-Nabi Samwil,Ramallah and al-Bira,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-07-06,Kafr a-Dik,Salfit,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-07-06,Kafr a-Dik,Salfit,west-bank,2,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-07-05,Birin,Hebron,west-bank,3,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-07-05,a-Lubban a-Sharqiyah,Nablus,west-bank,2,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-07-05,a-Lubban a-Sharqiyah,Nablus,west-bank,2,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-07-05,Duma,Nablus,west-bank,3,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-07-05,Qabalan,Nablus,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-07-04,Ni'lin,Ramallah and al-Bira,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-07-04,Ni'lin,Ramallah and al-Bira,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-07-04,a-Sawahrah a-Sharqiyah,al-Quds,west-bank,1,0,0,Residental,Demolition on the pretext of unlawful construction
2022-07-04,a-Za'ayem,al-Quds,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-07-03,al-'Abadiyeh,Bethlehem,west-bank,1,0,0,Residental,Demolition on the pretext of unlawful construction
2022-06-30,al-Buweib,Hebron,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-06-30,a-Rifa'iya,Hebron,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-06-29,'Anzah,Jenin,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-06-29,al-Mansura,Jenin,west-bank,2,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-06-29,al-Jalameh,Jenin,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-06-28,a-Za'ayem,al-Quds,west-bank,2,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-06-28,Tarqumya,Hebron,west-bank,8,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-06-28,'Anata,al-Quds,west-bank,1,8,6,Residental,Demolition on the pretext of unlawful construction
2022-06-28,'Anata,al-Quds,west-bank,1,1,0,Residental,Demolition on the pretext of unlawful construction
2022-06-28,'Anata,al-Quds,west-bank,1,4,2,Residental,Demolition on the pretext of unlawful construction
2022-06-28,'Anata,al-Quds,west-bank,1,5,2,Residental,Demolition on the pretext of unlawful construction
2022-06-28,'Anata,al-Quds,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-06-28,a-Za'ayem,al-Quds,west-bank,2,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-06-27,Kh.Ibziq,Tubas,west-bank,3,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-06-27,Kh.Ibziq,Tubas,west-bank,2,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-06-27,Kh.Ibziq,Tubas,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-06-27,Kh.Ibziq,Tubas,west-bank,1,0,0,Residental,Demolition on the pretext of unlawful construction
2022-06-27,Kh.Ibziq,Tubas,west-bank,1,0,0,Residental,Demolition on the pretext of unlawful construction
2022-06-27,'Anata,al-Quds,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-06-27,'Anata,al-Quds,west-bank,3,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-06-27,Nahhalin,Bethlehem,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-06-27,Bir Zeit,Ramallah and al-Bira,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-06-27,Kh.Ibziq,Tubas,west-bank,2,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-06-27,Kh.Ibziq,Tubas,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-06-27,Kh.Ibziq,Tubas,west-bank,5,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-06-26,Tarqumya,Hebron,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-06-26,Tarqumya,Hebron,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2022-06-26,Tarqumya,Hebron,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
